Beers,Type,Alcohol Content,Brewery,Municipality,Province,Parent,Rating,Check-ins,Description,Latitude,Longitude
Gordon Finest Scotch,Ale,0,Groupe John Martin,Unknown,Unknown,Unknown,3,33928,Unknown,46.3144754,11.0480288
Gordon Finest Silver,Fermentation haute,0,Groupe John Martin,Unknown,Unknown,Unknown,2,1489,Unknown,46.3144754,11.0480288
Gordon Finest Zero,Unknown,0,Groupe John Martin,Unknown,Unknown,Unknown,0,0,Unknown,46.3144754,11.0480288
Gordon Five,Pils,0,Groupe John Martin,Unknown,Unknown,Unknown,3,1567,"Gordon ® Five ® , a Pilsener style with an elegant nature, having a progressive bitterness

that arrives when reaching the throat without the slightest acridness. It rather comes

across with sweetness without excessive prolongation. Serve very cold, between 3° C and 5° C.",46.3144754,11.0480288
Gordon Xmas,Bière de Noël,0,Brasserie Palm,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,3,35756,"A seasonal Christmas beer with an intense flavour and considerable body. The flavour unfolds gently but steadily from the very first mouthful. The stringent woody notes combine with a sweeter base without either flavour gaining the upper hand. The sweetness lingers on the palate, and the stringency remains in the throat.﻿",51.5118304,-0.124251
Goud Vuur,"Ambrée, Triple",0,Brasserie Dijkwaert,Herentals,Antwerp,Unknown,2,22,Unknown,51.1765426,4.8362595
Gouden Arend 125,Blonde dorée,0,Brasserie De Ryck,Herzele,East Flanders,Unknown,3,3331,"The Gouden Arend is a strong golden beer with a surprisingly powerful and hoppy character, especially brewed in exclusive and limited edition for our 125th anniversary. The name refers as a tribute to our founder Gustave De Ryck, who started brewery De Ryck under the name  Brewery The Golden Eagle",50.8860005,2.5319929
Gouden Carolus Ambrio,Ambrée,0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,52958,"Gouden Carolus Ambrio is aromatically brewed according to the ancient recipe of the Mechelschen Bruynen. Ambrio is an 'amber' ale brewed with 'brio'. This white beer of high fermentation finds its origin in the traditional beer of the city of Mechelen. As each city had its own typical beer, the Mechelenians drunk their amber beer: Mechelschen Bruynen for hundreds of years.

Our brewery is the only brewery that still brews this type of beer. According to the tradition the basic recipe of this beer dates from 1421 and is therefore the oldest beer from the brewery.

The current version is slightly heavier than the original and finer hopped. The balance between the different malts, the fine hops and typical aromas with herbs ensure that this beer combines the whole-hearted nature of brown beers with the freshness of blonde beers.

This flavored and spicy light brown tasting beer should be served fairly fresh. Refermentation in the bottle.",51.0315949,4.4728969
Gouden Carolus Christmas,"Brune, Spéciale",0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,145744,"For more than 35 years we had to miss the Christmas beer but in 2002 the tradition was restored with Gouden Carolus Christmas. It’s a strong, dark ruby red beer with character and contains an alcohol percentage of 10.5 % alc.vol. Brewed in August, the beer rests a few months to reach an optimal balance. Three kinds of hops and 6 different kinds of herbs and spices define the rich taste of this Christmas beer. Top-class!",51.0315949,4.4728969
Gouden Carolus Classic,"Brune, Spéciale",0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,190557,"Gouden Carolus Classic, the ‘Grand Imperial Beer’ from Mechelen, is brewed with dark, very balanced dosed caramel and aromatic malts. This unique beer combines the warmth of wine and the freshness of beer. This makes it very suitable in combination with culinary specialties such as stews, pâtés, ripened or strong cheeses.

Elected Worlds’ Best Dark Beer (World Beer Awards 2012).",51.0315949,4.4728969
Gouden Carolus Easter,"Brune, Spéciale",0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,9295,"Gouden Carolus Easter contains several types of malt and during the brewing process three different
kinds of herbs are added to give it that fine, special taste. Its ruby red colour, high alcohol concentration of 10% alc.vol. and its full
and well-balanced taste are a source of vitality and strength. A true
delight, even for the most critical connoisseur. For ideal tasting, serve cool at a recommended temperature of 9-12°C (48-53°F) and
pour out gently in one movement. This pleasant, dark special beer is
chosen by all who love a richer, slightly spicier tasting Ale.",51.0315949,4.4728969
Gouden Carolus Hopsinjoor,"Blonde, Spéciale",0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,94087,"Gouden Carolus Hopsinjoor completes the taste pallet of our Carolus beers. “Hopsinjoor” derived from “Opsinjoor”, the typical character of Mechelen and also because of the use of 5 different kinds of hops. These hops are fractioned at a different time during the cooking process in order to conserve a maximum of aroma.

Concerning the taste, the Ale has a gentle taste with a slightly bitter finish. Gouden Carolus Hopsinjoor was launched in 2008 on the Zythos Beer Festival and hit the mark: the visitors elected it as best beer, bringing Het Anker “The Consumer’s trophy Zythos Beer Festival 2008”.

The beer is bottled unfiltered in order to preserve the bitterness of the hop as much as possible.",51.0315949,4.4728969
Gouden Carolus Tripel,Triple,0,Brasserie Het Anker,Malines,Antwerp,Unknown,3,242485,"Gouden Carolus Tripel was originally brewed for the Knights of the Golden Fleece in 1491. This golden specialty beer is brewed with the best Belgian ripe barley and hops, to preserve as much pure aroma as possible. Ideal with chicken, spicy dishes or fine, soft cheeses.

Elected World’s Best Triple (World Beer Awards 2012).",51.0315949,4.4728969
Gouden Pier Kloeffe,"Fermentation haute, Triple",0,De Proefbrouwerij,Lochristi,West Flanders,Unknown,3,4839,Unknown,51.1152543,3.8160967304356808
Gouyasse,"Fermentation haute, Blonde",0,Brasserie des Monts,Ellezelles,Hainaut,Unknown,0,0,Unknown,45.8142586,4.8184525
Grand Cru Bruocsella,Lambic,0,Brasserie Cantillon,Anderlecht,Brussels,Unknown,0,0,Unknown,50.841630550000005,4.335866379093762
Grandgousier,Blonde,0,Brasserie de la Lienne,Lierneux,Liege,Unknown,0,0,Unknown,50.3405315,5.821611350498288
Green Buzz,Bio,0,Brasserie Millevertus,Tintigny,Luxembourg,Unknown,0,0,Unknown,49.6952272,5.4924175
La Grelotte,Bière de Noël,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,3,4411,Unknown,50.7377318,5.9611134
Gribousine Blonde,Fermentation haute,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,3,95,Unknown,50.4263301,4.126294247491478
Gribousine Brune,Fermentation haute,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,3,141,Unknown,50.4263301,4.126294247491478
Gribousine Hiver,Bière de Noël,0,Brasserie La Binchoise,Binche,Hainaut,Unknown,3,26,Unknown,50.4263301,4.126294247491478
Griboval,Fermentation haute,0,Brasserie Van Den Bossche,Herzele,East Flanders,Unknown,0,0,Unknown,50.8860005,2.5319929
Grimbergen Blond,Abbaye Fermentation haute,0,Alken-Maes,Unknown,Unknown,Unknown,3,365457,"When the first regular breweries were founded in the Middle Ages, beer filtration was not a common technology and few mastered it. Among these few were the Fathers of Grimbergen Abbey, who became renowned experts in craft brewing. Their masterpiece was the filtrated Grimbergen Blonde – a pure, smooth, blonde ale with ripe fruit flavours and no cloudiness – that stood out from other beers of the time. Today, it’s still an insider tip among beer connoisseurs around the world.",50.87932945,5.307086120219811
Grimbergen Cuvée de l'Ermitage,Fermentation haute,0,Alken-Maes,Unknown,Unknown,Unknown,3,262,Unknown,50.87932945,5.307086120219811
Grimbergen Dubbel,Fermentation haute,0,Alken-Maes,Unknown,Unknown,Unknown,3,230484,"Double has undergone two fermentations, which gives this ale a chocolatey, toffee taste with a warming brandy-like finish.",50.87932945,5.307086120219811
Grimbergen Goud 8°,"Fermentation haute, Blonde",0,Alken-Maes,Unknown,Unknown,Unknown,3,6941,"This is a strong, light beer, full of character with fermentation in the bottle, yet very accessible.

Grimbergen Gold is enriched by the use of aromatic hops, which gives the beer its refined bitterness and hoppy character. A great result for those who can appreciate a strong beer.",50.87932945,5.307086120219811
Grimbergen Optimo Bruno,Fermentation haute,0,Alken-Maes,Unknown,Unknown,Unknown,3,21126,"Dark amber beer was originally brewed for Easter, but may be savored throughout the year.

The taste of Grimbergen Optimo Bruno is sweet-bitter and pronounced rounded. The great density gives this beer a full, powerful and alcoholic aftertaste. The double fermentation creates a perfect balance between hops and malt. This is a tasting beer for connoisseurs. (Alc.10% vol.)",50.87932945,5.307086120219811
Grimbergen Selection,"Brune, Double",0,Alken-Maes,Unknown,Unknown,Unknown,0,0,Unknown,50.87932945,5.307086120219811
Grimbergen Tripel,Triple,0,Alken-Maes,Unknown,Unknown,Unknown,0,0,Unknown,50.87932945,5.307086120219811
Grisette Ambrée,Ambrée,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,3,30,Unknown,50.49827785,4.127326611228931
Grisette Blanche,Blanche,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,3,12004,Unknown,50.49827785,4.127326611228931
Grisette Blonde,Blonde,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,3,386,Unknown,50.49827785,4.127326611228931
Grisette Cérise,Fruitée,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,3,33,Unknown,50.49827785,4.127326611228931
Grisette Country Cool,Unknown,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,2,13,"Douce, fraîche et délicatement parfumée, c'est une bière légère brassée à base de malt et de froment et alliant en harmonie toutes les saveurs des fruits des campagnes.",50.49827785,4.127326611228931
Grisette Fruits des Bois,Fruitée,0,Brasserie Saint-Feuillien,Le Rœulx,Hainaut,Unknown,0,0,Unknown,50.49827785,4.127326611228931
La Grognarde,Fermentation haute,0,Brasserie Sainte-Hélène,Virton,Luxembourg,Unknown,3,1647,Unknown,49.5816952,5.5701191
Grotten Flemish Ale,"Fermentation haute, Ale",0,Brasserie Saint-Bernardus,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
Grottenbier,Fermentation haute,0,Brasserie Saint-Bernardus,Poperinge,West Flanders,Unknown,0,0,Unknown,50.8556646,2.7264961
Gruut Amber,Ambrée,0,Stadsbrouwerij Gruut,Unknown,Unknown,Unknown,3,22088,"Gruut Amber Ale has an amazing rich taste, a deep copper colour and a smooth drink-ability and when using the typical open glass, you will see a fabulous head, discover its deep copper color and capture its delicate aroma.",46.3144754,11.0480288
Gruut Blond,Blonde,0,Stadsbrouwerij Gruut,Unknown,Unknown,Unknown,3,41022,"Gruut Blonde is cloudy, gently barleyd beer. It has a neutral, light and sweet flavor obtained by a special selection of herbs.",46.3144754,11.0480288
Gruut Bruin,Brune,0,Stadsbrouwerij Gruut,Unknown,Unknown,Unknown,3,12315,"Gruut Brown is our cuvee with a pleasant, smooth beginning and a never experienced, persistent aftertaste coming from a mixture of nuts.",46.3144754,11.0480288
Gruut Inferno,Blonde dorée,0,Stadsbrouwerij Gruut,Unknown,Unknown,Unknown,3,29900,Inferno: A delicate ale with an intense flavour. It’s golden color and unique flavor makes it popular wit hall ages. Ultimate serving temperature: 8° - 9°,46.3144754,11.0480288
Gruut Wit,Blanche,0,Stadsbrouwerij Gruut,Unknown,Unknown,Unknown,3,19168,"Gruut White beer is very aromatic with a fragant fruity smell and a slightly herbaceous sharpness. The body is light, but soft; Thanks to the spices, the flavors are ‘round’, very fine and complex. The first impression is a spicy dryness, but there is also a slight, creamy sweetness underlying.",46.3144754,11.0480288
Gueuze Cantillon 100% Lambic Bio,Gueuze,0,Brasserie Cantillon,Anderlecht,Brussels,Unknown,4,83192,Unknown,50.841630550000005,4.335866379093762
Gueuze Girardin,Gueuze,0,Brasserie Girardin,Dilbeek,Flemish Brabant,Unknown,0,0,Unknown,45.7717022,5.0107847
Gueuze Girardin gefilterd,Gueuze,0,Brasserie Girardin,Dilbeek,Flemish Brabant,Unknown,0,0,Unknown,45.7717022,5.0107847
Gueuze Jacobins,Gueuze,0,Brasserie Boon,Hal,Flemish Brabant,Unknown,3,3574,"The basic ingredient of our Jacobins Gueuze is wort made of wheat and malted barley.

After it has cooled down in the cooling vessel, the wort spontaneously ferments in big oak barrels.

During this fermentation process the flavour evolves considerably. 18 to 24 months later we finally obtain the lambic beer.

This matured lambic beer is then blended with younger lambic beer to obtain our Jacobins Gueuze. With its light amber colour and rounded sour-sweet flavour it definitely appeals to real Gueuze lovers.

Serve in a typical gueuze glass.",53.7435722,-0.3394758
Gueuze Lindemans,Gueuze,0,Brasserie Lindemans,Leeuw-Saint-Pierre,Flemish Brabant,Unknown,0,0,Unknown,50.7800261,4.2443604
Gueuze Mariage Parfait,Gueuze,0,Brasserie Boon,Hal,Flemish Brabant,Unknown,3,54850,"Boon Geuze Mariage Parfait has an alcohol content of 8%. It consists of 95% mild lambic, aged at least three years and specially reserved for this purpose, and 5% young lambic. The latter provides the fermentable sugars and wild yeasts. After mixing in a vessel of 25,000 litres, the wort (unfermented mixture) is filtered and chilled. If we are bottling, we bring it back to fermentation temperature. The bottles are placed in a climate-controlled space for the secondary fermentation. This is followed by maturing at low temperature for at least 6 months. Want to know the bottling date? Simply subtract 20 years from the “best before” date!
The soft, mildly sour berry taste, harmonises with the oak barrels’ aromas in which Geuze Mariage Parfait has ripen. The body speaks of vanilla followed by a bitter aftertaste of cloves that becomes increasingly intense. Sublime.",53.7435722,-0.3394758
Gueuze Tilquin,Gueuze,0,Gueuzerie Tilquin,Rebecq,Walloon Brabant,Unknown,4,502084,"Gueuzerie Tilquin is the first gueuze blendery in Wallonia. The blendery is located in Bierghes. It started out in 2009 under the management of Pierre Tilquin. Pierre put his intensive background in brewing science to practice when Gueuzerie Tilquin was established. Lambic and Gueuze beers are some of its finest specialties. Shortly after the blendery began its operations, it started to grow its audience, particularly among craft beer enthusiasts who love sour beers. Gueuzerie Tilquin has great passion for blending beers, oak barrel aging and tedious fermentation that has always produced some of the finest flavors of beers.",50.69274725,4.107563561761099
Gueuze Tilquin Version Fût,Gueuze,0,Gueuzerie Tilquin,Rebecq,Walloon Brabant,Unknown,0,0,Unknown,50.69274725,4.107563561761099
Guido,Fermentation haute,0,Brasserie De Hoorn,Londerzeel,Flemish Brabant,Palm Belgian Craft Brewers,0,0,Unknown,52.6421622,5.0591962
La Guillotine,Blonde,0,Brasserie Huyghe,Melle,East Flanders,Unknown,3,89047,"Golden blond, multigrain beer with a very persistent, lacing head. Scent: A complex smell, with a citrus aroma, followed by hop aromas such as Saaz, Brewers Gold and Amarillo. Flavour: Initially rather sweet, because of the alcohol. The intense taste and roundness mask the presence of high bitterness.",44.5620476,7.32049
Gulden Delle,Unknown,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,3,14,Unknown,50.9215896,4.7570606
Gulden Draak,"Fermentation haute, Brune",0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,0,0,Unknown,53.7435722,-0.3394758
Guldenberg,"Blonde, Abbaye",0,Brasserie De Ranke,Mouscron,Hainaut,Unknown,3,63665,"Guldenberg is a high-fermenting, balanced bitter beer. The origin of the name comes from the former Guldenberg-abbey in Wevelgem where monks used to make beer. Also, Wevelgem is the birthplace of one of the brewers.

Taste: A full-bodied abbey beer that balances between sweet and bitter. It is dry-hopped with Hallertau Mittelfrüh which results in a unique soft-bitter taste and aroma.",50.7436672,3.2142729
Gypsy Rose,Ambrée,0,Brasserie Sainte-Hélène,Virton,Luxembourg,Unknown,3,3504,Unknown,49.5816952,5.5701191
Haanse Witte,Blanche,0,Brasserie Strubbe,Ichtegem,West Flanders,Unknown,3,1454,Unknown,45.799734,11.7941917
Halleschelle,Blonde,0,Brasserie Alvinne,Zwevegem,West Flanders,Unknown,3,86,Unknown,50.78285655,3.375586376478683
Hanssens Lambic Experimental Cassis,"Lambic, Fruitée",0,Brasserie Martens,Bocholt,Limburg,Unknown,0,0,Unknown,51.0140082,3.6491165
Hanssens Lambic Experimental Raspberry,"Lambic, Fruitée",0,Brasserie Martens,Bocholt,Limburg,Unknown,3,11732,Unknown,51.0140082,3.6491165
Hapkin,"Fermentation haute, Blonde",0,Alken-Maes,Unknown,Unknown,Unknown,3,132344,Unknown,50.87932945,5.307086120219811
Harelbekenaar van de abdijhoeve,Rouge-brune (Bière-étiquette),0,Brasserie Van Eecke,Poperinge,West Flanders,Unknown,0,2,Unknown,50.8556646,2.7264961
Hector,"Fermentation haute, Triple",0,Brasserie De Graal,Brakel,East Flanders,Unknown,3,4574,"Zlatá barva, bílá pěna. Vyvážené aroma sladu a žateckého chmele. Plnější sladové tělo, středně prokvašené s vyšším řízem. Střední hořkost s důrazem na extrakci příjemné chuti žateckého poloranného červeňáku. Velmi pitelná slabší verze českého ležáku vhodná k uhašení žízně.",51.7168889,9.1841762
Heksemiebière,Fermentation haute,0,Microbrasserie Urthel,Ruiselede,West Flanders,Unknown,0,0,Unknown,51.04123,3.3972673
Hellekapelle,Blonde,0,Brasserie De Bie,Dentergem,West Flanders,Unknown,3,7940,"Hellekapelle is geen helle, nog een kapelle. Wel een licht, pittig bier, genoemd naar het eerste degustatiecafétje met de oorspronkelijke brouwerij in het vizier.",38.9028603,-77.0274147
Helleketelbière,Ambrée,0,Brasserie De Bie,Dentergem,West Flanders,Unknown,0,0,Unknown,38.9028603,-77.0274147
Hercule Stout,Stout,0,Brasserie des Légendes,Ath +  Ellezelles,Hainaut,Unknown,3,35863,"Agatha Christie’s Detective Hercule Poirrot (probably Belgium’s best-known citizen, and a native son of Ellezelles) is the namesake for the “Hercule” Stout. It is the only distinctively Belgian stout, and every bit as sturdy and dapper as its namesake.

The Hercule is considered by many to be a classic – very malty, but dry, with a hint of sweetness in the finish, and perfectly hopped. It has a very distinctive and intoxicating spicy aroma of fresh spruce that suddenly, irresistibly, fills the room when the swing-top is released. This unique house character probably derives from the strains of yeast used by the brewery – and possibly from the fermentation in oak – because the beers are made entirely of malt and hops, without any spices or s",50.62114495,3.7563987945579336
Herkenrode Bruin,"Abbaye, Brune",0,Brasserie Cornelissen,Brée,Limburg,Unknown,0,0,Unknown,48.1504032,-0.5188416
Herkenrode Tripel,"Abbaye, Triple",0,Brasserie Cornelissen,Brée,Limburg,Unknown,0,0,Unknown,48.1504032,-0.5188416
Hertalse Poorter,"Fermentation haute, Blonde",0,Brasserie Slaghmuylder,Ninove,East Flanders,Unknown,3,729,Unknown,50.8214549,4.0037422031066825
Hertenheer,"Fermentation haute, Ambrée",0,Scheldebrouwerij,Unknown,Unknown,Unknown,3,18517,Unknown,46.3144754,11.0480288
La Hervoise,Brune,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,3,1226,Unknown,50.7377318,5.9611134
La Heusschennoise,Blonde,0,Brasserie Grain d'Orge,Plombières,Liege,Unknown,0,4,Unknown,50.7377318,5.9611134
Hik Blond,"Fermentation haute, ale",0,Brasserie De Graal,Brakel,East Flanders,Unknown,3,459,Unknown,51.7168889,9.1841762
Hik Bruin,Fermentation haute,0,Brasserie De Graal,Brakel,East Flanders,Unknown,2,96,Unknown,51.7168889,9.1841762
Himelein,Fermentation haute,0,Brasserie Vissenaken,Tirlemont,Flemish Brabant,Unknown,3,235,Unknown,50.8074825,4.9371775
L'Hiveresse,Brune,0,Brasserie de la Lesse,Rochefort,Namur,Unknown,3,1690,Unknown,50.1399564,5.1636809
Hoegaarden,"Fermentation haute, Blanche",0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,0,0,Unknown,50.9215896,4.7570606
"Hoegaarden 0,0",Blanche NA,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,0,0,Unknown,50.9215896,4.7570606
"Hoegaarden 0,0 Rosée",Fruitée NA,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,2,5448,"The story of the jam jars gave us an idea. Hoegaarden Rosée. It might be pink but it is very much a wheat beer. It also features the soft taste and subtle colour of raspberries. And while it doesn’t feature a higher alcohol percentage, it does mean you can enjoy it even more in the sun.


Ingredients: water, barley malt, unmalted wheat, fruits (10%), raspberry (6%), sugar, sweetener, hops, yeast.",50.9215896,4.7570606
Hoegaarden Citron,Fruitée,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,2,1858,Unknown,50.9215896,4.7570606
Hoegaarden Grand Cru,Fermentation haute,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,3,97881,"Tripel version of Hoegaarden, since 1991 and somewhat of a classic. Ochre blonde colour with fluffy, snow white head; sweet maltiness and fruitiness (of banana and peach) predominate, bit yeasty, spicy notes (coriander), soft mouthfeel, warming alcohol in the finish.",50.9215896,4.7570606
Hoegaarden Radler Agrum,Panaché,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,2,6575,Unknown,50.9215896,4.7570606
Hoegaarden Radler Lemon & Lime,Panaché,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,3,17289,Unknown,50.9215896,4.7570606
Hoegaarden Rosée,Fruitée,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,3,56851,"The story of the jam jars (see Myths & Legends) gave us an idea. Hoegaarden Rosée. It might be pink but it is very much a wheat beer. It also features the soft taste and subtle colour of raspberries. And while it doesn’t feature a higher alcohol percentage, it does mean you can enjoy it even more in the sun.",50.9215896,4.7570606
Hoegaarden Spéciale,"Fermentation haute, Blonde dorée",0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,3,2842,Unknown,50.9215896,4.7570606
Hoegaarden Verboden Vrucht,Fruitée,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,3,159,Unknown,50.9215896,4.7570606
Hof Korvatunturi,"Fermentation haute, Brune",0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,3,1675,Unknown,51.0570823,4.6310473
Hof ten Dormaal Amber,Fermentation haute,0,Brasserie Hof ten Dormaal,Haacht,Flemish Brabant,Unknown,0,0,Unknown,50.9769474,4.6383121
Hof ten Dormaal Blond,Fermentation haute,0,Brasserie Hof ten Dormaal,Haacht,Flemish Brabant,Unknown,0,0,Unknown,50.9769474,4.6383121
Hof ten Dormaal Donker,Fermentation haute,0,Brasserie Hof ten Dormaal,Haacht,Flemish Brabant,Unknown,0,0,Unknown,50.9769474,4.6383121
Hofblues,Stout,0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,3,2318,"Non filtered, non pasteurised beer with secondary fermentation in the bottle High range stout beer. Food and drinks at the same time Mocha aroma with a subtle touch of sweetness. The slightly roasted and bitter taste makes this stout a very enjoyable drink. Not for just anyone, for beer lovers only.",51.0570823,4.6310473
Hofdraak,Brune,0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,3,2915,Unknown,51.0570823,4.6310473
Hofelf,Triple,0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,3,2807,"Non filtered, non pasteurised beer with secondary fermentation in the bottle. Wheat triple with the slightly sour yet mainly sweet touch of wheat malt. Full-mouthed, cloudy. With a fine, dense head like a blob of cream. The Hofelf equals pure delight.",51.0570823,4.6310473
Hofnar,Ambrée,0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,0,0,Unknown,51.0570823,4.6310473
Hofpint,"Fermentation haute, Pils",0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,0,0,Unknown,51.0570823,4.6310473
Hoftrol,Ambrée,0,Brasserie 't Hofbrouwerijke,Putte,Antwerp,Unknown,3,2931,"Een ongefilterd, niet gepasteuriseerd bier met hergisting op fles.
Amberkleurig droge ale met een frisse zure toets;
Deze frisheid komt van een speciaal opgekweekte gist.
Lichte houtneus en een aangenaam uitlopende bitterheid maken dit een ideaal zomerbier.",51.0570823,4.6310473
Holger,Pils,0,Brasserie Martens,Bocholt,Limburg,Unknown,2,19123,Unknown,51.0140082,3.6491165
Holsbeek Lentetripel,Triple,0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,3,431,"De Holsbeekse Lentetripel is een typisch seizoensbier. Om opnieuw krachten op te doen na een uitputtende winter brengt Brouwerij De Vlier u deze driegranen lentetripel. Slechts beperkt in tijd beschikbaar, enkel tijdens het voorjaar tot de voorraad uitgeput is. Dit bier uit gerstemout, tarwe en haver heeft een specifiek hoppig aroma en afdronk. Met smaakevolutie, niet gefilterd en ongepasteuriseerd.

gist: Hoge gist en hergisting in de fles
hop: Lublinhop
mout: Pilsmout (gerst), tarwemout en havervlokken
temp: 4-6°C
Vol. % alc.: 8,5

--------------------------

(Holsbeek Spring Triple)
To regain strength after an exhausting winter, Brewery De Vlier provides this multigrain spring triple. This beer, made from barley, wheat and oats, has a specific aroma and a hoppy aftertaste. With taste evolution, unfiltered and unpasteurized.

Fermentation: High fermentation and secondary fermentation in the bottle
hops: Lublin hops
malt: Pilsner malt (barley), wheat malt",50.9215896,4.7570606
Hommel,"Blonde dorée, Fermentation haute",0,Brasserie Van Eecke,Poperinge,West Flanders,Unknown,3,22608,"A dry-hopped Belgian Pale Ale which defies tradition by combining Centennial and Cascade hops in the kettle, a dry hop addition of Centennial and Cascade hops, American malts, and a Belgian yeast strain. The result is a beer with earthy and spicy tones from the yeast and a slight orange note contributed by the hops. Our first beer.",50.8556646,2.7264961
Hop Harvest,Brune,0,Brasserie De Ranke,Mouscron,Hainaut,Unknown,3,129379,"Hop Knife Harvest Ale recognizes the time-honored tradition of hand-harvesting at the peak of maturity. At the end of fermentation, the beer flows through our HopCyclone releasing a bounty of preserved citrus rind, crushed jungle and tropical aromas.",50.7436672,3.2142729
Hop Ruiter,Triple,0,Scheldebrouwerij,Unknown,Unknown,Unknown,3,53512,A classic tripel but enriched with a modern hoppiness. Our explosive Hop Ruiter tames Belgian yeast and overseas hops to a particularly aromatic tripel. So called dryhopping makes this beer a complex tripel that constantly surprises.,46.3144754,11.0480288
Hopjutters Triple Hop,IPA,0,Brasserie De Graal,Brakel,East Flanders,Unknown,0,0,Unknown,51.7168889,9.1841762
Hoppa Hontas,IPA,0,Brasserie Maenhout,Meulebeke,West Flanders,Unknown,3,9579,Unknown,50.9498382,3.2888527
Hoppe,Pils,0,Brasserie Den Herberg,Hal,Flemish Brabant,Unknown,0,0,Unknown,53.7435722,-0.3394758
Hopus,"Fermentation haute, Blonde dorée",0,Brasserie Lefebvre,Rebecq,Walloon Brabant,Unknown,3,77823,"In 2023, on the occasion of its fifteenth anniversary, our brewers reworked the recipe of this bottle-refermented Belgian beer to offer you a strong blonde with a delicate bitterness.",50.6749419,4.152957560369655
Hop Verdomme IPA,Blonde,0,Brasserie Cornelissen,Brée,Limburg,Unknown,3,44734,"This beer is a response to the very bitter beers that are being brewed all around the world at present. In this case, the denomination IPA does not stand for India Pale Ale, but for Incredible, Powerful & Amazing.

Instead of mostly American hops, 7 Flemish hops from the Westhoek region (Maritime Flanders) have been used. Obviously, the taste is very bitter, but the beer has a “balance” that makes it very drinkable and invites you to have another round…",48.1504032,-0.5188416
Horal's Oude Gueuze Mega Blend,Gueuze,0,"Brasserie 3 Fonteinen, Brasserie Boon, Brasserie Timmermans, Brasserie Oud Beersel, Brasserie Lindemans, Brasserie De Troch, Brasserie De Cam, Brasserie Hanssens",Unknown,Unknown,Unknown,3,2114,"Collaboration between BOON, Timmermans, Oud Beersel, Lindemans, De Troch, De Cam, Hanssens Artisanaal, Tilquin, Lambiek Fabriek, Mort Subite, Den Herberg, Kestemont, Eylenbosch
Bottled on 31/10/2023",46.3144754,11.0480288
Horse Ale,Unknown,0,InBev,Unknown,Unknown,Unknown,0,0,Unknown,22.20903905,-100.99891264738864
Horst bière,"Fermentation basse, Blonde",0,Brasserie Haacht,Boortmeerbeek,Flemish Brabant,Unknown,0,0,Unknown,50.9808426,4.552216324874748
Hotteuse Grand Cru,Brune,0,Brasserie Affligem,Opwijk,Flemish Brabant,"Alken-Maes, Heineken",3,283,Unknown,50.9125769,4.1125154
Houblon Chouffe Dobbelen IPA Tripel,IPA,0,Brasserie d'Achouffe,Houffalize,Luxembourg,Duvel Moortgat,3,1093,Unknown,50.15096665,5.745850863614394
Hougaerdse Das,"Fermentation haute, Ambrée",0,Brasserie De Vlier,Holsbeek,Flemish Brabant,Unknown,3,376,Unknown,50.9215896,4.7570606
Houppe,Blonde blonde,0,Brasserie artisanale de Namur,Namur,Namur,Unknown,3,16084,Unknown,50.4665284,4.8661892
